"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Open mHealth Header Schema","Mapping: FHIR Observation Resource"
"OmhHeader","","","",1,1,"","","","BackboneElement {[]} {[]}
","","The header property contains the metadata about the data point.","","","","","","","","","",,,,,"",,,,"",0,null,"","","OmhHeader","Observation Resource"
"OmhHeader.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"",0,null,"",""
"OmhHeader.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","",0,null,"",""
"OmhHeader.dataPointId","","","",1,1,"","","","id {[]} {[]}
","","The identifier of this data point. We strongly recommend this to be a globally unique value.","","","","","","","","","",,,,,"",,,,"",0,null,"","","OmhHeader.id","Observation.identifier"
"OmhHeader.creationDateTime","","","",1,1,"","","","instant {[]} {[]}
","","The date time this data point was created on the system where data is stored.","","","","","","","","","",,,,,"",,,,"",0,null,"","","OmhHeader.creation_date_time","Observation.issued"
"OmhHeader.schemaId","","","",1,1,"","","","BackboneElement {[]} {[]}
","","The version of the schema, e.g. 1.0.","","","","","","","","","",,,,,"",,,,"",0,null,"","","properties.header.schema_id","Observation.meta.profile"
"OmhHeader.schemaId.namespace","","","",1,1,"","","","uri {[]} {[]}
","","The namespace of the schema. A namespace serves to disambiguate schemas with conflicting names.","","","","","","","","","",,,,,"",,,,"",0,null,"","","header.schema_id.namespace","None"
"OmhHeader.schemaId.name","","","",1,1,"","","","string {[]} {[]}
","","The name of the schema.","","","","","","","","","",,,,,"",,,,"",0,null,"","","header.schema_id.name","None"
"OmhHeader.schemaId.version","","","",1,1,"","","","string {[]} {[]}
","","The version of the schema, e.g. 1.0.","","","","","","","","","",,,,,"",,,,"",0,null,"","","header.schema_id.version","None"
"OmhHeader.acquisitionProvenance","","","",0,1,"","","","BackboneElement {[]} {[]}
","","The data point provenance information.","","","","","","","","","",,,,,"",,,,"",0,null,"","","header.acquisition_provenance","None"
"OmhHeader.acquisitionProvenance.sourceName","","","",1,1,"","","","string {[]} {[]}
","","The name of the source of the data.","","","","","","","","","",,,,,"",,,,"",0,null,"","","header.acquisition_provenance.source_name","Observation.meta.source"
"OmhHeader.acquisitionProvenance.sourceDataPointId","","","",0,1,"","","","string {[]} {[]}
","","The identifier of this data point at the source (immediately preceding step).","","","","","","","","","",,,,,"",,,,"",0,null,"","","header.acquisition_provenance.source_data_point_id","Observation.identifier"
"OmhHeader.acquisitionProvenance.sourceCreationDateTime","","","",0,1,"","","","instant {[]} {[]}
","","The date time (timestamp) of data creation at the source.","","","","","","","","","",,,,,"",,,,"",0,null,"","","header.acquisition_provenance.source_creation_date_time","None"
"OmhHeader.acquisitionProvenance._last_modificationDataTime","","","",0,1,"","","","instant {[]} {[]}
","","The date time (timestamp) of last data modification at the source.","","","","","","","","","",,,,,"",,,,"",0,null,"","","header.acquisition_provenance._last_modification_data_time","None"
"OmhHeader.acquisitionProvenance.modality","","","",0,1,"","","","code {[]} {[]}
","","The modality whereby the measure is obtained.","","","","","","","","","",,,,,"",,,,"",0,null,"","","header.acquisition_provenance.modality","Observation.device"
"OmhHeader.userId","","","",0,1,"","","","string {[]} {[]}
","","The user this data point belongs to.  This is an opaque identifier.","","","","","","","","","",,,,,"",,,,"",0,null,"","","header.user_id","Observation.subject"
